,Primary Tumor,Metastasis,Benign Nevus,Metastasis - Primary,Tumor - Normal
FAM195CP,3.0,3.0,3.0,0.0,0.0
NT5CP1,3.0,3.0,3.0,0.0,0.0
NDUFB8P2,3.0,3.0,3.0,0.0,0.0
RPL36AP21,3.0,3.0,3.0,0.0,0.0
TUBB8P2,3.0,3.0,3.0,0.0,0.0
FMR1-IT1,3.0,3.0,3.0,0.0,0.0
PPIAP13,3.0,3.0,3.0,0.0,0.0
BNIP3P27,3.0,3.0,3.0,0.0,0.0
OTOL1,3.0,3.0,3.0,0.0,0.0
NT5C1A,3.0,3.0,3.0,0.0,0.0
CLIC4P1,3.0,3.0,3.0,0.0,0.0
RPL21P131,3.0,3.0,3.0,0.0,0.0
RPL29P14,3.0,3.0,3.0,0.0,0.0
ZNF750,3.0,3.0,3.0,0.0,0.0
RHOA-IT1,3.0,3.0,3.0,0.0,0.0
GAPDHP71,3.0,3.0,3.0,0.0,0.0
RPRM,3.0,3.0,3.0,0.0,0.0
RPL35AP32,3.0,3.0,3.0,0.0,0.0
LARP1P1,3.0,3.0,3.0,0.0,0.0
THRSP,3.0,3.0,3.0,0.0,0.0
EEF1DP2,3.0,3.0,3.0,0.0,0.0
RNU1-82P,3.0,3.0,3.0,0.0,0.0
TRHDE-AS1,3.0,3.0,3.0,0.0,0.0
RPL23AP43,3.0,3.0,3.0,0.0,0.0
HM13-IT1,3.0,3.0,3.0,0.0,0.0
HMGB1P35,3.0,3.0,3.0,0.0,0.0
COX6B1P5,3.0,3.0,3.0,0.0,0.0
SCML2P2,3.0,3.0,3.0,0.0,0.0
C1QTNF1-AS1,3.0,3.0,3.0,0.0,0.0
RPL21P3,3.0,3.0,3.0,0.0,0.0
KRT16P4,3.0,3.0,3.0,0.0,0.0
TGFB2-AS1,3.0,3.0,3.0,0.0,0.0
GAPDHP59,3.0,3.0,3.0,0.0,0.0
PGAM1P7,3.0,3.0,3.0,0.0,0.0
RFPL4A,3.0,3.0,3.0,0.0,0.0
GSTM3P1,3.0,3.0,3.0,0.0,0.0
IGKV7-3,3.0,3.0,3.0,0.0,0.0
GLTSCR2-AS1,3.0,3.0,3.0,0.0,0.0
PPIAP3,3.0,3.0,3.0,0.0,0.0
LOXL4,3.0,3.0,3.0,0.0,0.0
SNRPCP3,3.0,3.0,3.0,0.0,0.0
OSMR-AS1,3.0,3.0,3.0,0.0,0.0
RHOXF1,3.0,3.0,3.0,0.0,0.0
FAM96AP2,3.0,3.0,3.0,0.0,0.0
RPL13AP2,3.0,3.0,3.0,0.0,0.0
GXYLT1P3,3.0,3.0,3.0,0.0,0.0
PRDX1P1,3.0,3.0,3.0,0.0,0.0
SPATA45,3.0,3.0,3.0,0.0,0.0
LYST-AS1,3.0,3.0,3.0,0.0,0.0
RNVU1-3,3.0,3.0,3.0,0.0,0.0
RPL21P2,3.0,3.0,3.0,0.0,0.0
COX6CP1,3.0,3.0,3.0,0.0,0.0
TM4SF1-AS1,3.0,3.0,3.0,0.0,0.0
TRBV26OR9-2,3.0,3.0,3.0,0.0,0.0
RN7SKP187,3.0,3.0,3.0,0.0,0.0
TIMM8BP2,3.0,3.0,3.0,0.0,0.0
RWDD4P1,3.0,3.0,3.0,0.0,0.0
ZNF663P,3.0,3.0,3.0,0.0,0.0
TRIM51HP,3.0,3.0,3.0,0.0,0.0
PPP1R14C,3.0,3.0,3.0,0.0,0.0
GOLT1A,3.0,3.0,3.0,0.0,0.0
KIRREL-IT1,3.0,3.0,3.0,0.0,0.0
RPS23P6,3.0,3.0,3.0,0.0,0.0
