,Primary Tumor,Metastasis,Normal Tissue,Metastasis - Primary,Tumor - Normal
RP11-2B6.3,3.0,3.0,3.0,0.0,0.0
DNASE2B,3.0,3.0,3.0,0.0,0.0
CCDC64B,3.0,3.0,3.0,0.0,0.0
CTD-2510F5.6,3.0,3.0,3.0,0.0,0.0
CPA1,3.0,3.0,3.0,0.0,0.0
RP11-365O16.1,3.0,3.0,3.0,0.0,0.0
CLDN10,3.0,3.0,3.0,0.0,0.0
NCCRP1,3.0,3.0,3.0,0.0,0.0
IFNWP19,3.0,3.0,3.0,0.0,0.0
CTB-60B18.18,3.0,3.0,3.0,0.0,0.0
FOXQ1,3.0,3.0,3.0,0.0,0.0
GYLTL1B,3.0,3.0,3.0,0.0,0.0
RP11-824M15.3,3.0,3.0,3.0,0.0,0.0
RP3-416H24.1,3.0,3.0,3.0,0.0,0.0
CTC-250I14.3,3.0,3.0,3.0,0.0,0.0
CD207,3.0,3.0,3.0,0.0,0.0
RP3-339A18.6,3.0,3.0,3.0,0.0,0.0
TRBV29-1,3.0,3.0,3.0,0.0,0.0
SLC6A14,3.0,3.0,3.0,0.0,0.0
LINC01317,3.0,3.0,3.0,0.0,0.0
RP4-718J7.4,3.0,3.0,3.0,0.0,0.0
RP11-500M8.7,3.0,3.0,3.0,0.0,0.0
RP11-521D12.5,3.0,3.0,3.0,0.0,0.0
RP5-1021I20.8,3.0,3.0,3.0,0.0,0.0
SNORA8,3.0,3.0,3.0,0.0,0.0
RNU2-27P,3.0,3.0,3.0,0.0,0.0
RPL23AP47,3.0,3.0,3.0,0.0,0.0
RP1-124C6.1,3.0,3.0,3.0,0.0,0.0
AC018738.2,3.0,3.0,3.0,0.0,0.0
CTD-2325P2.4,3.0,3.0,3.0,0.0,0.0
DPH3P1,3.0,3.0,3.0,0.0,0.0
RP11-70C1.3,3.0,3.0,3.0,0.0,0.0
AC137695.1,3.0,3.0,3.0,0.0,0.0
CYP2W1,3.0,3.0,3.0,0.0,0.0
IGKV1-12,3.0,3.0,3.0,0.0,0.0
NPPA-AS1_2,3.0,3.0,3.0,0.0,0.0
FTX_3,3.0,3.0,3.0,0.0,0.0
HIST1H1PS1,3.0,3.0,3.0,0.0,0.0
HOXA11-AS1_5,3.0,3.0,3.0,0.0,0.0
RP4-798A17.5,3.0,3.0,3.0,0.0,0.0
RP11-388M20.2,3.0,3.0,3.0,0.0,0.0
HLA-DRB6,3.0,3.0,3.0,0.0,0.0
AC100830.5,3.0,3.0,3.0,0.0,0.0
LA16c-360H6.2,3.0,3.0,3.0,0.0,0.0
AC009133.22,3.0,3.0,3.0,0.0,0.0
IGKV1-39,3.0,3.0,3.0,0.0,0.0
RP11-498C9.2,3.0,3.0,3.0,0.0,0.0
HSPB1P1,3.0,3.0,3.0,0.0,0.0
SLC45A2,3.0,3.0,3.0,0.0,0.0
FRG2DP,3.0,3.0,3.0,0.0,0.0
IGKV3D-15,3.0,3.0,3.0,0.0,0.0
RP11-529E10.7,3.0,3.0,3.0,0.0,0.0
RP11-408H20.3,3.0,3.0,3.0,0.0,0.0
FOXI1,3.0,3.0,3.0,0.0,0.0
RBBP8NL,3.0,3.0,3.0,0.0,0.0
LINC00518,3.0,3.0,3.0,0.0,0.0
ASPG,3.0,3.0,3.0,0.0,0.0
KRTAP2-3,3.0,3.0,3.0,0.0,0.0
RP11-6N17.6,3.0,3.0,3.0,0.0,0.0
TP53AIP1,3.0,3.0,3.0,0.0,0.0
GDPD2,3.0,3.0,3.0,0.0,0.0
RPL23AP60,3.0,3.0,3.0,0.0,0.0
KRTAP2-1,3.0,3.0,3.0,0.0,0.0
AC007000.11,3.0,3.0,3.0,0.0,0.0
SRY,3.0,3.0,3.0,0.0,0.0
CDH12P2,3.0,3.0,3.0,0.0,0.0
PHF2P2,3.0,3.0,3.0,0.0,0.0
IGLV5-45,3.0,3.0,3.0,0.0,0.0
CTB-151G24.1,3.0,3.0,3.0,0.0,0.0
RAET1L,3.0,3.0,3.0,0.0,0.0
LRIT2,3.0,3.0,3.0,0.0,0.0
RNU11,3.0,3.0,3.0,0.0,0.0
RP11-229E13.4,3.0,3.0,3.0,0.0,0.0
RP11-486L19.2,3.0,3.0,3.0,0.0,0.0
RP1-159A19.3,3.0,3.0,3.0,0.0,0.0
AC005363.9,3.0,3.0,3.0,0.0,0.0
FABP7,3.0,3.0,3.0,0.0,0.0
SNORA4,3.0,3.0,3.0,0.0,0.0
SPINK7,3.0,3.0,3.0,0.0,0.0
