,Primary Tumor,Metastasis,Normal Tissue,Metastasis - Primary,Tumor - Normal
RN7SL81P,3.0,3.0,3.0,0.0,0.0
RP11-616M22.5,3.0,3.0,3.0,0.0,0.0
BTBD16,3.0,3.0,3.0,0.0,0.0
RP11-669N7.2,3.0,3.0,3.0,0.0,0.0
RP11-100E13.1,3.0,3.0,3.0,0.0,0.0
LINC01474,3.0,3.0,3.0,0.0,0.0
ITIH6,3.0,3.0,3.0,0.0,0.0
AC002398.12,3.0,3.0,3.0,0.0,0.0
RP11-369C8.1,3.0,3.0,3.0,0.0,0.0
RP11-234G16.4,3.0,3.0,3.0,0.0,0.0
LA16c-316G12.2,3.0,3.0,3.0,0.0,0.0
TRAV12-2,3.0,3.0,3.0,0.0,0.0
AC068587.2,3.0,3.0,3.0,0.0,0.0
IGFL1P1,3.0,3.0,3.0,0.0,0.0
IGHV4-28,3.0,3.0,3.0,0.0,0.0
SOX21-AS1,3.0,3.0,3.0,0.0,0.0
PRDM7,3.0,3.0,3.0,0.0,0.0
RP4-548D19.3,3.0,3.0,3.0,0.0,0.0
TMEM125,3.0,3.0,3.0,0.0,0.0
KLK10,3.0,3.0,3.0,0.0,0.0
RP11-473M20.5,3.0,3.0,3.0,0.0,0.0
RN7SL417P,3.0,3.0,3.0,0.0,0.0
CD1A,3.0,3.0,3.0,0.0,0.0
AADAC,3.0,3.0,3.0,0.0,0.0
AC093159.1,3.0,3.0,3.0,0.0,0.0
RP11-30J20.1,3.0,3.0,3.0,0.0,0.0
CYP4F26P,3.0,3.0,3.0,0.0,0.0
AC010967.2,3.0,3.0,3.0,0.0,0.0
MT4,3.0,3.0,3.0,0.0,0.0
PSAPL1,3.0,3.0,3.0,0.0,0.0
FAM25G,3.0,3.0,3.0,0.0,0.0
RP11-323N12.5,3.0,3.0,3.0,0.0,0.0
RP11-359E7.3,3.0,3.0,3.0,0.0,0.0
RP4-549L20.3,3.0,3.0,3.0,0.0,0.0
GRHL3,3.0,3.0,3.0,0.0,0.0
RP11-315A16.1,3.0,3.0,3.0,0.0,0.0
BCAP31P1,3.0,3.0,3.0,0.0,0.0
LINC01212,3.0,3.0,3.0,0.0,0.0
AC002075.4,3.0,3.0,3.0,0.0,0.0
TCEB1P21,3.0,3.0,3.0,0.0,0.0
RP11-1070A24.2,3.0,3.0,3.0,0.0,0.0
AP000936.1,3.0,3.0,3.0,0.0,0.0
ZFY,3.0,3.0,3.0,0.0,0.0
ROPN1,3.0,3.0,3.0,0.0,0.0
RP11-455O6.8,3.0,3.0,3.0,0.0,0.0
TRAV19,3.0,3.0,3.0,0.0,0.0
RP11-64D22.1,3.0,3.0,3.0,0.0,0.0
RP11-265D17.2,3.0,3.0,3.0,0.0,0.0
RP1-170O19.23,3.0,3.0,3.0,0.0,0.0
RN7SL67P,3.0,3.0,3.0,0.0,0.0
